$CDC: RAGGRUPPAMENTI ;$CDC: Codice e descrizione;$CON: UNLG - Liv. 2;$CON: Codice;$CON: Descrizione;Ter_cod;Ter_descr;NOTE;gennaio;febbraio;marzo;aprile;maggio;giugno;luglio;agosto;settembre;ottobre;novembre;dicembre;Totale - Importo di default
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000002712;RICCIONE S.R.L.;; 15,207.92 ; 15,207.92 ; 17,108.91 ; 15,207.92 ; 16,475.25 ; 15,841.58 ; 16,475.25 ; 16,475.25 ; 15,841.58 ; 16,475.25 ; 15,841.58 ; 15,841.58 ;192,000
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000000651;SARCHIO S.P.A.;; 10,653.68 ; 10,653.68 ; 11,985.39 ; 10,653.68 ; 11,541.49 ; 11,097.58 ; 11,541.49 ; 11,541.49 ; 11,097.58 ; 11,541.49 ; 11,097.58 ; 11,097.58 ;134,503
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000001122;AUTOTRASP.CRISTINELLI SRL;; 9,926.15 ; 9,926.15 ; 11,166.91 ; 9,926.15 ; 10,753.32 ; 10,339.73 ; 10,753.32 ; 10,753.32 ; 10,339.73 ; 10,753.32 ; 10,339.73 ; 10,339.73 ;125,318
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000001521;ADP Food Srl;; 8,055.02 ; 8,055.02 ; 9,190.24 ; 8,169.11 ; 8,849.86 ; 8,509.49 ; 8,849.86 ; 8,849.86 ; 8,509.49 ; 8,849.86 ; 8,509.49 ; 8,509.49 ;102,907
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000001279;GLOBAL FOOD S.R.L.;; 8,615.32 ; 8,615.32 ; 9,829.51 ; 8,737.34 ; 9,465.45 ; 9,101.40 ; 9,465.45 ; 9,465.45 ; 9,101.40 ; 9,465.45 ; 9,101.40 ; 9,101.40 ;110,065
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000000228;CESARE REGNOLI & FIGLIO S.R.L.;; 8,739.13 ; 8,739.13 ; 9,970.76 ; 8,862.90 ; 9,601.48 ; 9,232.19 ; 9,601.48 ; 9,601.48 ; 9,232.19 ; 9,601.48 ; 9,232.19 ; 9,232.19 ;111,647
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000001702;PASTA FRESCA ROSSI SRL;; 7,312.92 ; 7,312.92 ; 8,343.55 ; 7,416.49 ; 8,034.53 ; 7,725.51 ; 8,034.53 ; 8,034.53 ; 7,725.51 ; 8,034.53 ; 7,725.51 ; 7,725.51 ;93,426
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000002625;MORATO PANE S.P.A.;; 7,135.21 ; 7,135.21 ; 8,027.11 ; 7,135.21 ; 7,729.81 ; 7,432.51 ; 7,729.81 ; 7,729.81 ; 7,432.51 ; 7,729.81 ; 7,432.51 ; 7,432.51 ;90,082
3_1 ANZOLA EMILIA;300000 - Anzola;3_01030 Affitto;4010100100;AFFITTI ATTIVI  ATTIVITA' PROP;0000000811;MANUZZI IMPORT EXPORT SRL;; 6,415.84 ; 6,415.84 ; 7,217.82 ; 6,415.84 ; 6,950.50 ; 6,683.17 ; 6,950.50 ; 6,950.50 ; 6,683.17 ; 6,950.50 ; 6,683.17 ; 6,683.17 ;81,000
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000001109;FULL SERVICES & PACKAGING SCARL;; 6,051.83 ; 6,051.83 ; 6,808.30 ; 6,051.83 ; 6,556.14 ; 6,303.98 ; 6,556.14 ; 6,556.14 ; 6,303.98 ; 6,556.14 ; 6,303.98 ; 6,303.98 ;76,404
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000000597;EMMEGI S.A.S. DI VANDI GRAZIELLA &C.;; 4,792.74 ; 4,792.74 ; 5,468.19 ; 4,860.61 ; 5,265.66 ; 5,063.14 ; 5,265.66 ; 5,265.66 ; 5,063.14 ; 5,265.66 ; 5,063.14 ; 5,063.14 ;61,229
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000002656;BRENDOLAN SERVICE S.R.L.UNIPERSONALE;; 5,702.97 ; 5,702.97 ; 6,506.71 ; 5,783.74 ; 6,265.72 ; 6,024.73 ; 6,265.72 ; 6,265.72 ; 6,024.73 ; 6,265.72 ; 6,024.73 ; 6,024.73 ;72,858
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000001697;FELSINEO VEG S.R.L.;; 5,287.88 ; 5,287.88 ; 5,948.86 ; 5,287.88 ; 5,728.53 ; 5,508.20 ; 5,728.53 ; 5,728.53 ; 5,508.20 ; 5,728.53 ; 5,508.20 ; 5,508.20 ;66,759
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000002213;GIUSEPPE CITTERIO S.P.A.;; 5,285.63 ; 5,285.63 ; 6,030.55 ; 5,360.49 ; 5,807.20 ; 5,583.84 ; 5,807.20 ; 5,807.20 ; 5,583.84 ; 5,807.20 ; 5,583.84 ; 5,583.84 ;67,526
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000000292;BIRAGHI S.P.A.;; 5,191.32 ; 5,191.32 ; 5,922.94 ; 5,264.84 ; 5,703.58 ; 5,484.21 ; 5,703.58 ; 5,703.58 ; 5,484.21 ; 5,703.58 ; 5,484.21 ; 5,484.21 ;66,322
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000000302;GOOD TRUCK SOCIETA' COOPERATIVA;; 5,702.97 ; 5,702.97 ; 6,415.84 ; 5,702.97 ; 6,178.22 ; 5,940.59 ; 6,178.22 ; 6,178.22 ; 5,940.59 ; 6,178.22 ; 5,940.59 ; 5,940.59 ;72,000
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000000301;CAMST SOC.COOP A.R.L.;; 3,820.20 ; 3,820.20 ; 4,358.59 ; 3,874.31 ; 4,197.17 ; 4,035.74 ; 4,197.17 ; 4,197.17 ; 4,035.74 ; 4,197.17 ; 4,035.74 ; 4,035.74 ;48,805
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000002702;DESSERT MANIFATTURA MILANO S.R.L.;; 4,752.48 ; 4,752.48 ; 5,346.53 ; 4,752.48 ; 5,148.51 ; 4,950.50 ; 5,148.51 ; 5,148.51 ; 4,950.50 ; 5,148.51 ; 4,950.50 ; 4,950.50 ;60,000
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000002697;VALCOLATTE S.P.A. A SOCIO UNICO;; 5,702.97 ; 5,702.97 ; 6,415.84 ; 5,702.97 ; 6,178.22 ; 5,940.59 ; 6,178.22 ; 6,178.22 ; 5,940.59 ; 6,178.22 ; 5,940.59 ; 5,940.59 ;72,000
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000001999;AUTOTRASPORTI CURCI S.R.L.;; 2,376.24 ; 2,376.24 ; 2,673.27 ; 2,376.24 ; 2,574.26 ; 2,475.25 ; 2,574.26 ; 2,574.26 ; 2,475.25 ; 2,574.26 ; 2,475.25 ; 2,475.25 ;30,000
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000000747;MAZZOCCO S.R.L.;; 2,277.90 ; 2,277.90 ; 2,562.64 ; 2,277.90 ; 2,467.73 ; 2,372.82 ; 2,467.73 ; 2,467.73 ; 2,372.82 ; 2,467.73 ; 2,372.82 ; 2,372.82 ;28,759
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000001288;C.T.F. CONSORZIO TRASPORTATORI FRIGORISTI;; 1,425.74 ; 1,425.74 ; 1,603.96 ; 1,425.74 ; 1,544.55 ; 1,485.15 ; 1,544.55 ; 1,544.55 ; 1,485.15 ; 1,544.55 ; 1,485.15 ; 1,485.15 ;18,000
3_1 ANZOLA EMILIA;300000 - Anzola;3_01020 Deposito;4010100600;RICAVI PER FATTURATO DEPOSITO;0000000685;PODERE CITTADELLA SOC.AGRICOLA S.N.;; 1,878.66 ; 1,878.66 ; 2,143.43 ; 1,905.27 ; 2,064.04 ; 1,984.66 ; 2,064.04 ; 2,064.04 ; 1,984.66 ; 2,064.04 ; 1,984.66 ; 1,984.66 ;24,001
3_1 ANZOLA EMILIA;300000 - Anzola;3_01020 Deposito;4010100600;RICAVI PER FATTURATO DEPOSITO;0000000811;MANUZZI IMPORT EXPORT SRL;; 1,655.15 ; 1,655.15 ; 1,862.04 ; 1,655.15 ; 1,793.08 ; 1,724.11 ; 1,793.08 ; 1,793.08 ; 1,724.11 ; 1,793.08 ; 1,724.11 ; 1,724.11 ;20,896
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000001243;SICURA S.R.L.;; 1,505.09 ; 1,505.09 ; 1,717.21 ; 1,526.41 ; 1,653.61 ; 1,590.01 ; 1,653.61 ; 1,653.61 ; 1,590.01 ; 1,653.61 ; 1,590.01 ; 1,590.01 ;19,228
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000001589;CONAD SOC.COOP. A R.L.;; 1,284.48 ; 1,284.48 ; 1,465.50 ; 1,302.67 ; 1,411.22 ; 1,356.94 ; 1,411.22 ; 1,411.22 ; 1,356.94 ; 1,411.22 ; 1,356.94 ; 1,356.94 ;16,410
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000000591;P.N.R. S.R.L.;; 1,226.86 ; 1,226.86 ; 1,380.22 ; 1,226.86 ; 1,329.10 ; 1,277.98 ; 1,329.10 ; 1,329.10 ; 1,277.98 ; 1,329.10 ; 1,277.98 ; 1,277.98 ;15,489
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000002163;PREMIATA FORNERIA S.R.L.;; 987.03 ; 987.03 ; 1,110.41 ; 987.03 ; 1,069.29 ; 1,028.16 ; 1,069.29 ; 1,069.29 ; 1,028.16 ; 1,069.29 ; 1,028.16 ; 1,028.16 ;12,461
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000000099;MAGRI' S.R.L.;; 966.76 ; 966.76 ; 1,103.01 ; 980.45 ; 1,062.15 ; 1,021.30 ; 1,062.15 ; 1,062.15 ; 1,021.30 ; 1,062.15 ; 1,021.30 ; 1,021.30 ;12,351
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000002225;PACKAGING IMOLESE S.P.A.;; 855.45 ; 855.45 ; 976.01 ; 867.56 ; 939.86 ; 903.71 ; 939.86 ; 939.86 ; 903.71 ; 939.86 ; 903.71 ; 903.71 ;10,929
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000002725;COMPAGNIA EUROPEA ALIMENTI E NATURAC.E.A.N S.R.L.;; 1,140.59 ; 1,140.59 ; 1,283.17 ; 1,140.59 ; 1,235.64 ; 1,188.12 ; 1,235.64 ; 1,235.64 ; 1,188.12 ; 1,235.64 ; 1,188.12 ; 1,188.12 ;14,400
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000000442;STEF ITALIA S.P.A.;; 683.96 ; 683.96 ; 769.46 ; 683.96 ; 740.96 ; 712.46 ; 740.96 ; 740.96 ; 712.46 ; 740.96 ; 712.46 ; 712.46 ;8,635
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000000150;CONSORZIO GRANTERRE S.C.A.;; 538.82 ; 538.82 ; 614.76 ; 546.45 ; 591.99 ; 569.22 ; 591.99 ; 591.99 ; 569.22 ; 591.99 ; 569.22 ; 569.22 ;6,884
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000002715;INTERMOMA FOOD S.R.L.;; 1,425.74 ; 1,425.74 ; 1,603.96 ; 1,425.74 ; 1,544.55 ; 1,485.15 ; 1,544.55 ; 1,544.55 ; 1,485.15 ; 1,544.55 ; 1,485.15 ; 1,485.15 ;18,000
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000000235;COOPSERVICE S.COOP.P.A.;; 427.72 ; 427.72 ; 488.00 ; 433.78 ; 469.93 ; 451.85 ; 469.93 ; 469.93 ; 451.85 ; 469.93 ; 451.85 ; 451.85 ;5,464
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000002744;PASTIFICIO STROPPA S.R.L.;; 1,900.99 ; 1,900.99 ; 2,138.61 ; 1,900.99 ; 2,059.41 ; 1,980.20 ; 2,059.41 ; 2,059.41 ; 1,980.20 ; 2,059.41 ; 1,980.20 ; 1,980.20 ;24,000
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000000522;TRASPORTI RAPIDI S.R.L.;; 469.98 ; 469.98 ; 528.73 ; 469.98 ; 509.14 ; 489.56 ; 509.14 ; 509.14 ; 489.56 ; 509.14 ; 489.56 ; 489.56 ;5,933
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000002742;MAGGESE S.R.L.;; 760.40 ; 760.40 ; 855.45 ; 760.40 ; 823.76 ; 792.08 ; 823.76 ; 823.76 ; 792.08 ; 823.76 ; 792.08 ; 792.08 ;9,600
3_1 ANZOLA EMILIA;300000 - Anzola;3_01020 Deposito;4010100600;RICAVI PER FATTURATO DEPOSITO;0000000099;MAGRI' S.R.L.;; 518.75 ; 518.75 ; 591.86 ; 526.10 ; 569.94 ; 548.02 ; 569.94 ; 569.94 ; 548.02 ; 569.94 ; 548.02 ; 548.02 ;6,627
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000002796;DOLCEZZE SAVINI S.R.L.;; 5,227.72 ; 5,227.72 ; 5,881.19 ; 5,227.72 ; 5,663.37 ; 5,445.54 ; 5,663.37 ; 5,663.37 ; 5,445.54 ; 5,663.37 ; 5,445.54 ; 5,445.54 ;66,000
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000000968;BISINELLA S.R.L.;; 340.59 ; 340.59 ; 383.17 ; 340.59 ; 368.98 ; 354.79 ; 368.98 ; 368.98 ; 354.79 ; 368.98 ; 354.79 ; 354.79 ;4,300
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000001475;LE VELE AUTOTRASPORTI SRL;; 285.15 ; 285.15 ; 320.79 ; 285.15 ; 308.91 ; 297.03 ; 308.91 ; 308.91 ; 297.03 ; 308.91 ; 297.03 ; 297.03 ;3,600
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000002669;ANTICHI GRANI SIKANI & IL FORNO DIMARENGO S.R.L.;; 237.62 ; 237.62 ; 267.33 ; 237.62 ; 257.43 ; 247.52 ; 257.43 ; 257.43 ; 247.52 ; 257.43 ; 247.52 ; 247.52 ;3,000
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000002797;TERZO CERCHIO SRL;; 1,425.74 ; 1,425.74 ; 1,603.96 ; 1,425.74 ; 1,544.55 ; 1,485.15 ; 1,544.55 ; 1,544.55 ; 1,485.15 ; 1,544.55 ; 1,485.15 ; 1,485.15 ;18,000
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000002767;B.F. AGRO-INDUSTRIALE S.R.L.;; 130.69 ; 130.69 ; 147.03 ; 130.69 ; 141.58 ; 136.14 ; 141.58 ; 141.58 ; 136.14 ; 141.58 ; 136.14 ; 136.14 ;1,650
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000001667;COOP ALLEANZA 3.0 SOC.COOP.;; 71.68 ; 71.68 ; 80.64 ; 71.68 ; 77.66 ; 74.67 ; 77.66 ; 77.66 ; 74.67 ; 77.66 ; 74.67 ; 74.67 ;905
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000000625;SERAFINI UMBERTO DISTRIBUZIONE FRESCHI SRL;; 54.08 ; 54.08 ; 60.84 ; 54.08 ; 58.59 ; 56.34 ; 58.59 ; 58.59 ; 56.34 ; 58.59 ; 56.34 ; 56.34 ;683
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000002630;MERIDIANA TRASPORTI S.R.L.;; 39.60 ; 39.60 ; 44.55 ; 39.60 ; 42.90 ; 41.25 ; 42.90 ; 42.90 ; 41.25 ; 42.90 ; 41.25 ; 41.25 ;500
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000002737;TRASPORTI INTERNAZIONALI TRANSMEC SPA;; 31.68 ; 31.68 ; 35.64 ; 31.68 ; 34.32 ; 33.00 ; 34.32 ; 34.32 ; 33.00 ; 34.32 ; 33.00 ; 33.00 ;400
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000001916;NAPOLITRANS SRL;; 27.72 ; 27.72 ; 31.19 ; 27.72 ; 30.03 ; 28.88 ; 30.03 ; 30.03 ; 28.88 ; 30.03 ; 28.88 ; 28.88 ;350
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000001313;FUTURA S.R.L.;; 25.35 ; 25.35 ; 28.51 ; 25.35 ; 27.46 ; 26.40 ; 27.46 ; 27.46 ; 26.40 ; 27.46 ; 26.40 ; 26.40 ;320
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000001627;ZEROQUATTRO LOGISTICA SRL;; 15.84 ; 15.84 ; 17.82 ; 15.84 ; 17.16 ; 16.50 ; 17.16 ; 17.16 ; 16.50 ; 17.16 ; 16.50 ; 16.50 ;200
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000002769;AL-GEL S.R.L.;; 15.84 ; 15.84 ; 17.82 ; 15.84 ; 17.16 ; 16.50 ; 17.16 ; 17.16 ; 16.50 ; 17.16 ; 16.50 ; 16.50 ;200
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000000548;MACORITTO VALENTINO E C. S.N.C.;; 15.05 ; 15.05 ; 16.93 ; 15.05 ; 16.30 ; 15.68 ; 16.30 ; 16.30 ; 15.68 ; 16.30 ; 15.68 ; 15.68 ;190
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000001517;F.LLI CAVAGLIA' S.R.L.;; 14.26 ; 14.26 ; 16.04 ; 14.26 ; 15.45 ; 14.85 ; 15.45 ; 15.45 ; 14.85 ; 15.45 ; 14.85 ; 14.85 ;180
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000002606;AZ.AGRICOLA EMMEPI DI MARINOPILOTTO;; 13.47 ; 13.47 ; 15.15 ; 13.47 ; 14.59 ; 14.03 ; 14.59 ; 14.59 ; 14.03 ; 14.59 ; 14.03 ; 14.03 ;170
3_1 ANZOLA EMILIA;300000 - Anzola;3_01020 Deposito;4010100600;RICAVI PER FATTURATO DEPOSITO;0000000706;COOP ITALIA SOCIETA'COOPERATIVA;; 11.46 ; 11.46 ; 13.07 ; 11.62 ; 12.59 ; 12.10 ; 12.59 ; 12.59 ; 12.10 ; 12.59 ; 12.10 ; 12.10 ;146
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000002764;SPACE LOGISTIC S.R.L.FILIALE DI TORINO;; 9.90 ; 9.90 ; 11.14 ; 9.90 ; 10.73 ; 10.31 ; 10.73 ; 10.73 ; 10.31 ; 10.73 ; 10.31 ; 10.31 ;125
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000000455;DOLCIARIA CASTELCREM SRL;; 7.92 ; 7.92 ; 8.91 ; 7.92 ; 8.58 ; 8.25 ; 8.58 ; 8.58 ; 8.25 ; 8.58 ; 8.25 ; 8.25 ;100
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000001633;EATALYWORLD S.R.L.;; 7.92 ; 7.92 ; 8.91 ; 7.92 ; 8.58 ; 8.25 ; 8.58 ; 8.58 ; 8.25 ; 8.58 ; 8.25 ; 8.25 ;100
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000002795;LATTERIA SOCIALE NUOVA SCA;; 7.92 ; 7.92 ; 8.91 ; 7.92 ; 8.58 ; 8.25 ; 8.58 ; 8.58 ; 8.25 ; 8.58 ; 8.25 ; 8.25 ;100
3_1 ANZOLA EMILIA;300000 - Anzola;3_01020 Deposito;4010100600;RICAVI PER FATTURATO DEPOSITO;0000000349;C.T.L. COOP.VA TRASPORTO LATTE SCRL;; 5.73 ; 5.73 ; 6.44 ; 5.73 ; 6.21 ; 5.97 ; 6.21 ; 6.21 ; 5.97 ; 6.21 ; 5.97 ; 5.97 ;72
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000001779;R.L.A. SRL-RETE LOGISTICA AGR.;; 5.15 ; 5.15 ; 5.79 ; 5.15 ; 5.58 ; 5.36 ; 5.58 ; 5.58 ; 5.36 ; 5.58 ; 5.36 ; 5.36 ;65
3_1 ANZOLA EMILIA;300000 - Anzola;3_01020 Deposito;4010100600;RICAVI PER FATTURATO DEPOSITO;0000000302;GOOD TRUCK SOCIETA' COOPERATIVA;; 4.30 ; 4.30 ; 4.83 ; 4.30 ; 4.65 ; 4.48 ; 4.65 ; 4.65 ; 4.48 ; 4.65 ; 4.48 ; 4.48 ;54
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000001580;PRALVER SRL;; 3.96 ; 3.96 ; 4.46 ; 3.96 ; 4.29 ; 4.13 ; 4.29 ; 4.29 ; 4.13 ; 4.29 ; 4.13 ; 4.13 ;50
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;0000001241;BUIESE DISTILLERIE DI BUIESE CRISTIANO & C.;; 1.32 ; 1.32 ; 1.49 ; 1.32 ; 1.43 ; 1.38 ; 1.43 ; 1.43 ; 1.38 ; 1.43 ; 1.38 ; 1.38 ;17
3_1 ANZOLA EMILIA;300000 - Anzola;3_01020 Deposito;4010100600;RICAVI PER FATTURATO DEPOSITO;0000001243;SICURA S.R.L.;;-475.25 ;-475.25 ;-542.23 ;-481.98 ;-522.14 ;-502.06 ;-522.14 ;-522.14 ;-502.06 ;-522.14 ;-502.06 ;-502.06 ;-6,072
3_1 ANZOLA EMILIA;300000 - Anzola;3_01020 Deposito;4010100600;RICAVI PER FATTURATO DEPOSITO;0000000160;COOPERATIVA CARTAI MODENESE SOC.COOP.;;-3,326.73 ;-3,326.73 ;-3,742.57 ;-3,326.73 ;-3,603.96 ;-3,465.35 ;-3,603.96 ;-3,603.96 ;-3,465.35 ;-3,603.96 ;-3,465.35 ;-3,465.35 ;-42,000
3_1 ANZOLA EMILIA;300000 - Anzola;3_01020 Deposito;4010100600;RICAVI PER FATTURATO DEPOSITO;0000001514;TARGET 2000 S.P.A.;;-7,223.76 ;-7,223.76 ;-8,126.73 ;-7,223.76 ;-7,825.74 ;-7,524.75 ;-7,825.74 ;-7,825.74 ;-7,524.75 ;-7,825.74 ;-7,524.75 ;-7,524.75 ;-91,200
3_1 ANZOLA EMILIA;300000 - Anzola;3_01020 Deposito;4010100600;RICAVI PER FATTURATO DEPOSITO;---;Non classificato ;;-24,427.72 ;-24,427.72 ;-27,481.19 ;-24,427.72 ;-26,463.37 ;-25,445.54 ;-26,463.37 ;-26,463.37 ;-25,445.54 ;-26,463.37 ;-25,445.54 ;-25,445.54 ;-308,400
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;;CLIENTI NUOVI;; 28,514.85 ; 28,514.85 ; 32,079.21 ; 28,514.85 ; 30,891.09 ; 29,702.97 ; 30,891.09 ; 30,891.09 ; 29,702.97 ; 30,891.09 ; 29,702.97 ; 29,702.97 ;360,000
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;;INCREMENTO FATTURATO (LEONI 24/03/22);;;;;; 50,000.00 ; 50,000.00 ; 50,000.00 ; 50,000.00 ; 50,000.00 ; 50,000.00 ; 50,000.00 ; 50,000.00 ;400,000
3_1 ANZOLA EMILIA;300000 - Anzola;3_01010 Trasporto;4010100900;RICAVI PER SERVIZI DI TRASPORT;;INCREMENTO FATTURATO (LEONI 28/04/2022);; -   ; 100,000.00 ; 785,000.00 ; 20,000.00 ; 20,000.00 ; -   ; 20,000.00 ; -   ; 45,000.00 ; 45,000.00 ; 15,000.00 ; -   ;1,050,000
